galaxy,hyperleda_sigma,hyperleda_error,refcode,bibcode
NGC 0691,NO_DATA,,,
NGC 1015,NO_DATA,,,
NGC 1309,NO_DATA,,,
NGC 1365,NO_DATA,,,
NGC 1448,NO_DATA,,,
NGC 1559,NO_DATA,,,
NGC 2442,NO_DATA,,,
NGC 2525,NO_DATA,,,
NGC 2608,NO_DATA,,,
NGC 3021,NO_DATA,,,
NGC 3147,NO_DATA,,,
NGC 3254,NO_DATA,,,
NGC 3370,NO_DATA,,,
NGC 3447,NO_DATA,,,
NGC 3583,NO_DATA,,,
NGC 3972,NO_DATA,,,
NGC 3982,NO_DATA,,,
NGC 4424,NO_DATA,,,
NGC 4536,NO_DATA,,,
NGC 4639,NO_DATA,,,
NGC 4680,NO_DATA,,,
NGC 5468,NO_DATA,,,
NGC 5584,NO_DATA,,,
NGC 5643,NO_DATA,,,
NGC 5728,NO_DATA,,,
NGC 5861,NO_DATA,,,
NGC 5917,NO_DATA,,,
NGC 7250,NO_DATA,,,
NGC 7329,NO_DATA,,,
NGC 7541,NO_DATA,,,
NGC 7678,NO_DATA,,,
NGC 0976,NO_DATA,,,
NGC 976,NO_DATA,,,
NGC 105,NO_DATA,,,
NGC 1337,NO_DATA,,,
NGC 4038,NO_DATA,,,
UGC 9391,NO_DATA,,,
NGC 4258,NO_DATA,,,
M 31,NO_DATA,,,
M 101,NO_DATA,,,
LMC,NO_DATA,,,
SMC,NO_DATA,,,
MW,NO_DATA,,,
