Dropped Host,$\Delta r$,$\Delta p$,$\Delta \kappa$,$\Delta H_0^{\rm corr}$
NGC 3147,-0.025,0.0133,0.35\times 10^6,0.00
NGC 976,-0.020,0.0107,0.17\times 10^6,0.02
NGC 7541,0.021,-0.0041,0.10\times 10^6,-0.33
NGC 5917,0.015,-0.0025,0.10\times 10^6,-0.30
NGC 2608,0.020,-0.0037,0.06\times 10^6,-0.33
NGC 2525,0.006,0.0006,0.04\times 10^6,-0.15
NGC 5584,0.025,-0.0052,0.04\times 10^6,-0.39
NGC 7329,0.002,0.0019,0.03\times 10^6,0.08
NGC 3254,0.005,0.0007,0.03\times 10^6,0.18
NGC 0691,0.000,0.0026,0.02\times 10^6,-0.02
NGC 4038,0.024,-0.0050,0.02\times 10^6,-0.40
NGC 3021,-0.005,0.0045,0.02\times 10^6,-0.00
NGC 7678,0.000,0.0024,0.01\times 10^6,-0.03
NGC 5861,0.002,0.0018,0.01\times 10^6,-0.12
NGC 4680,0.021,-0.0041,0.01\times 10^6,-0.37
NGC 3583,0.001,0.0023,0.01\times 10^6,-0.05
NGC 1015,0.003,0.0014,0.01\times 10^6,-0.12
NGC 1309,-0.002,0.0034,0.01\times 10^6,0.02
NGC 5468,-0.007,0.0054,0.00\times 10^6,0.06
NGC 5728,-0.031,0.0164,0.00\times 10^6,-0.01
NGC 3370,-0.005,0.0046,0.00\times 10^6,0.09
NGC 4639,0.063,-0.0130,-0.01\times 10^6,0.78
NGC 105,-0.006,0.0048,-0.01\times 10^6,0.18
NGC 2442,-0.007,0.0051,-0.04\times 10^6,-0.16
NGC 1559,-0.012,0.0073,-0.04\times 10^6,0.23
UGC 9391,-0.011,0.0070,-0.04\times 10^6,0.28
NGC 7250,-0.018,0.0100,-0.06\times 10^6,0.24
NGC 1365,-0.012,0.0074,-0.08\times 10^6,-0.25
NGC 3447,-0.023,0.0124,-0.15\times 10^6,0.51
