excluded_host,sigma,shear_suppression,kappa_loo,delta_kappa,pct_change
N3147,223.40894356439284,0.7501755509599616,1773297.5572964642,516593.60832185484,41.107025146484375
N976A,212.70617385012537,0.6665828391214645,1533995.3224814963,277291.3735068869,22.064971923828125
N7541,61.802987112436774,0.6370854766692375,1444807.8087199247,188103.85974531528,14.968032836914064
N5917,52.64017958361095,0.8713125015071045,1442951.5931702917,186247.64419568237,14.820327758789062
N2608,83.41474960345026,0.91310271329645,1390608.4240064956,133904.47503188625,10.65521240234375
N2525,77.89999876987692,0.8673780539465569,1374796.0754297674,118092.126455158,9.39697265625
N5584,92.5016917700842,0.9278918451694246,1372373.2155672042,115669.2665925948,9.204177856445312
N3254,109.46338856575277,0.7492928149071276,1369107.5801529223,112403.63117831293,8.944320678710938
N7329,116.39793698312904,0.9403936446861644,1368092.222576961,111388.27360235155,8.863525390625
N5728,166.738644821125,0.9356494533158932,1362841.8938838877,106137.9449092783,8.44573974609375
N3021,54.1974425370972,0.6924992318081158,1357551.2960518245,100847.34707721509,8.024749755859375
N4038,99.24471174407964,0.9317852338736042,1351696.9302739017,94992.9812992923,7.55889892578125
N7678,102.49610850692297,0.934550387388718,1349957.6869851444,93253.73801053502,7.420501708984376
N0691,101.84679244339156,0.6003785111275198,1349476.374895312,92772.42592070252,7.3822021484375
N3583,102.6945397409901,0.8271970326828276,1349029.579210328,92325.63023571856,7.346649169921875
N1015,101.5484288080592,0.939605409786608,1348544.4319644012,91840.48298979178,7.308044433593749
N4680,100.59139374396904,0.9186757090408294,1347470.588258002,90766.63928339258,7.222595214843749
N1309,85.48966270428608,0.9367067298761484,1346214.5746371243,89510.62566251494,7.122650146484374
N5861,106.20418271445524,0.8434248822073162,1343286.4329591393,86582.48398452997,6.8896484375
N3447,51.72330736696996,0.9404993929203972,1171842.4912873888,-84861.45768722054,-6.7527008056640625
N5468,64.83843341735236,0.8070087785827118,1334709.1063542757,78005.15737966634,6.207122802734375
N3370,80.45305219029427,0.9357840312324516,1332935.34666067,76231.39768606052,6.06597900390625
N4639,96.40480287112231,0.0679216357407222,1325463.5037999833,68759.55482537393,5.4714202880859375
N105A,83.85761906519484,0.938012333002864,1323363.7558383634,66659.80686375406,5.3043365478515625
N1559,68.84088748488503,0.9396963613470533,1291738.0998958834,35034.15092127398,2.78778076171875
N1365,135.86279623041727,0.129270990664005,1222033.1790932687,-34670.769881340675,-2.7588653564453125
U9391,72.84250306090047,0.9399266015277312,1286915.3911073226,30211.442132713273,2.404022216796875
N2442,133.31717130180132,0.0452552292888134,1264009.9213342182,7305.972359608859,0.58135986328125
N7250,50.4111892361293,0.9348880472358682,1262853.621771792,6149.672797182575,0.489349365234375
