host,sigma,z_hd,mu_published,mu_matrix,delta_mu,h0_published,h0_matrix,delta_h0
N0691,101.84679244339156,0.00855,32.82220038569176,32.82220030907798,7.661378020884513e-08,69.87900951130109,69.87901197676882,-2.4654677304170036e-06
N1015,101.5484288080592,0.00815,32.617748081806326,32.617748176168035,-9.436170955723355e-08,73.18611526208778,73.18611208177255,3.1803152324982875e-06
N105A,83.85761906519484,0.01682,34.493374963451345,34.49337515060869,-1.8715734739771506e-07,63.675402914450224,63.675397426322014,5.488128209663046e-06
N1309,85.48966270428608,0.00719,32.50896360923535,32.50896363299066,-2.375530527842784e-08,67.88235044378399,67.88234970116991,7.426140768984624e-07
N1365,135.86279623041727,0.00483,31.32541543530425,31.325415657683823,-2.2237957253423701e-07,78.64746822456762,78.64746017031403,8.054253584077742e-06
N1559,68.84088748488503,0.00407,31.46078272204369,31.4607828127205,-9.067681006058592e-08,62.267089704007184,62.26708710384476,2.6001624249261113e-06
N2442,133.31717130180132,0.00488,31.465229402600443,31.465229359648603,4.2951839418492455e-08,74.50658266510234,74.50658413884653,-1.4737441915713134e-06
N2525,77.89999876987692,0.00602,32.01138450158723,32.011384827452495,-3.258652654380967e-07,71.47271732310762,71.47270659744784,1.0725659777222063e-05
N2608,83.41474960345026,0.00855,32.62780095307221,32.62780095609936,-3.0271465334408276e-09,76.42344785295253,76.42344774641423,1.0653830884166382e-07
N3021,54.1974425370972,0.00673,32.39157825089393,32.391578056420705,1.9447322330279349e-07,67.06873529200871,67.06874129856614,-6.006557427440384e-06
N3147,223.40894356439284,0.01079,33.09079245164216,33.09079227028219,1.8135996526780218e-07,77.92622844007376,77.92623494842204,-6.5083482780892155e-06
N3254,109.46338856575277,0.00648,32.40309755164495,32.403097669538646,-1.1789369835923935e-07,64.23566114739536,64.23565765990945,3.4874859125011426e-06
N3370,80.45305219029427,0.00588,32.14249679432585,32.14249684857287,-5.4247017544639675e-08,65.72016878546579,65.72016714366595,1.6417998409679058e-06
N3447,51.72330736696996,0.00465,31.944288930942335,31.944289163808396,-2.328660606565336e-07,56.93979111963599,56.93978501348236,6.106153634277689e-06
N3583,102.6945397409901,0.00857,32.7899012784913,32.789901378759694,-1.002683944761884e-07,71.09208789414787,71.09208461144934,3.2826985290057564e-06
N4038,99.24471174407964,0.00571,31.633833407662937,31.633833444421185,-3.675824800097871e-08,80.66592711661346,80.66592575111687,1.3654965869136504e-06
N4639,96.40480287112231,0.00359,31.78738500726915,31.78738490018261,1.0708654230029424e-07,47.253953549810404,47.25395588014745,-2.3303370468852336e-06
N4680,100.59139374396904,0.00864,32.5468099373571,32.54680985917825,7.81788429549124e-08,80.16272242225186,80.16272530832534,-2.8860734744284855e-06
N5468,64.83843341735236,0.00954,33.18726848481219,33.18726859873988,-1.1392768328732927e-07,65.90454721990034,65.90454376217639,3.4577239489408385e-06
N5584,92.5016917700842,0.00625,31.86553948636049,31.86553960658754,-1.2022704964920194e-07,79.35838535956727,79.35838096576322,4.393804047708727e-06
N5728,166.738644821125,0.00996,32.91590277778192,32.91590301173811,-2.3395618597987777e-07,77.96496455699234,77.96495615698474,8.400007601494508e-06
N5861,106.20418271445524,0.00677,32.205206817919304,32.205206770662684,4.7256619950530876e-08,73.51365368063084,73.51365528047009,-1.5998392512983628e-06
N5917,52.64017958361095,0.0071,32.33689541476568,32.336895415494844,-7.291660608643724e-10,72.56045021022781,72.56045018586252,2.436529200622317e-08
N7250,50.4111892361293,0.00432,31.605972237460463,31.605972319327673,-8.186720990011054e-08,61.81729570561067,61.817293375021805,2.330588863230787e-06
N7329,116.39793698312904,0.01028,33.26914458542828,33.269144742815094,-1.5738681469201765e-07,68.38878695366365,68.38878199689198,4.956771675779237e-06
N7541,61.802987112436774,0.00814,32.579683470837224,32.57968336537841,1.0545881679036029e-07,74.38894742461277,74.38895103735518,-3.6127424181131573e-06
N7678,102.49610850692297,0.01061,33.26689439729975,33.266894473167866,-7.58681153456564e-08,70.65732757346217,70.65732510479705,2.4686651158845052e-06
N976A,212.70617385012537,0.01312,33.54384445493261,33.54384437006158,8.487103286825004e-08,76.91050216782021,76.91050517383304,-3.0060128324294055e-06
U9391,72.84250306090047,0.00747,32.81599028059958,32.8159905371589,-2.5655932489598854e-07,61.227037814264555,61.22703058029442,7.233970137576762e-06
