test,model,sigma_v,z_cut,N_hosts,H_app,H_app_err,sigma_int,beta_X,beta_X_err,beta_X_sig,chi2,AIC,BIC,sample,beta_X_mean,beta_X_std,beta_X_min,beta_X_max,n_positive,most_influential_host,status,beta_X_p_binned,beta_X_boot_mean,beta_X_boot_std,beta_X_ci_low,beta_X_ci_high,beta_X_ci_16,beta_X_ci_84,frac_positive
standard,0_intercept_only,150,0.0,29,69.85115286352877,1.242840093530866,3.81312221378182,,,,31.664289239910158,147.2476895221708,149.98228118214374,primary,,,,,,,,,,,,,,,
standard,1_X,150,0.0,29,69.4439584918582,0.9926266216840309,4.016872035337903e-06,23982064.984634228,7049663.610286326,3.4018736652400614,34.34644999035876,140.24744909075616,144.34933658071557,primary,,,,,,,,,,,,,,,
standard,2_X_Z,150,0.0,29,69.4369405896462,0.9926431133258247,5.816693903070491e-06,18882537.772224233,8184443.432537738,2.307125454267982,32.842161199079676,140.74316029949517,146.21234361944107,primary,,,,,,,,,,,,,,,
standard,0_intercept_only,250,0.0,29,69.92354747476905,1.4787638934914193,6.339139935571968e-06,,,,19.90255763504578,148.44766666697598,151.18225832694893,primary,,,,,,,,,,,,,,,
standard,1_X,250,0.0,29,69.4749457842107,1.4911466859412463,6.34421476131279e-06,23497395.187015697,10044765.415191676,2.3392676897638944,14.43038431067244,144.97549334260268,149.07738083256208,primary,,,,,,,,,,,,,,,
standard,2_X_Z,250,0.0,29,69.4583332353686,1.4912645269766496,6.34421476131279e-06,18124125.62612142,11733081.823390223,1.5447029091700764,13.645133364473725,146.19024239640393,151.65942571634983,primary,,,,,,,,,,,,,,,
standard,0_intercept_only,300,0.0,29,69.92854131532607,1.7277506513548566,6.34421476131279e-06,,,,14.501607960859674,152.56981292703105,155.304404587004,primary,,,,,,,,,,,,,,,
standard,1_X,300,0.0,29,69.45011997958196,1.743932543396725,6.34421476131279e-06,23509657.941191226,11647171.339354115,2.0184864853628004,10.427320269267396,150.49552523543878,154.5974127253982,primary,,,,,,,,,,,,,,,
standard,2_X_Z,300,0.0,29,69.43806424089958,1.7440011355419347,6.34421476131279e-06,17986903.17442672,13633189.444435596,1.3193466758263304,9.819821996599186,151.88802696277057,157.35721028271647,primary,,,,,,,,,,,,,,,
standard,0_intercept_only,500,0.0,29,69.86597944322241,2.741766565755557,6.34421476131279e-06,,,,5.7142822799532835,171.7048135207786,174.43940518075155,primary,,,,,,,,,,,,,,,
standard,1_X,500,0.0,29,69.35494242763606,2.770120636292916,6.34421476131279e-06,23712571.554049026,18343582.80832162,1.292690299481285,4.04323406958027,172.0337653104056,176.13565280036502,primary,,,,,,,,,,,,,,,
standard,2_X_Z,500,0.0,29,69.36346384891891,2.7701689545016484,6.34421476131279e-06,17796946.806726526,21575360.068098344,0.8248736869537284,3.771977177476494,173.7625084183018,179.2316917382477,primary,,,,,,,,,,,,,,,
standard,0_intercept_only,750,0.0,29,69.81181042719858,4.033173454339625,6.34421476131279e-06,,,,2.6336848595075972,191.5503013880257,194.28489304799865,primary,,,,,,,,,,,,,,,
standard,1_X,750,0.0,29,69.29744257165554,4.074864744402344,6.34421476131279e-06,23862314.84272379,26972382.580516316,0.8846943636325586,1.8510007424643795,192.76761727098256,196.86950476094196,primary,,,,,,,,,,,,,,,
standard,2_X_Z,750,0.0,29,69.31952388881446,4.075318179416078,6.34421476131279e-06,17745010.492388666,31798423.36453548,0.5580468656876721,1.7190634576603037,194.6356799861785,200.1048633061244,primary,,,,,,,,,,,,,,,
standard,0_intercept_only,1000,0.0,29,69.7861728359474,5.337039200167843,6.34421476131279e-06,,,,1.5024575254311334,206.88936076028173,209.62395242025468,primary,,,,,,,,,,,,,,,
standard,1_X,1000,0.0,29,69.27213211259263,5.3918533820723695,6.34421476131279e-06,23930776.91964509,35701230.84420555,0.6703067752502754,1.05314635248471,208.44004958733532,212.54193707729473,primary,,,,,,,,,,,,,,,
standard,2_X_Z,1000,0.0,29,69.30038321748881,5.392815945556147,6.34421476131279e-06,17728486.016576175,42129834.20035463,0.420805976407734,0.976262584458932,210.3631658193096,215.83234913925548,primary,,,,,,,,,,,,,,,
standard,1_X,250,0.0,35,68.37726198830163,1.4523950311330596,6.34421476131279e-06,26600203.140415013,9964835.470435532,2.6694071587368016,21.65211677374404,184.62190740752897,189.2879515919972,sensitivity,,,,,,,,,,,,,,,
z_cut,1_X,250,0.0035,29,69.4749457842107,1.4911466859412463,6.34421476131279e-06,23497395.187015727,10044765.415191676,2.339267689763897,14.430384310672444,144.97549334260268,149.07738083256208,primary,,,,,,,,,,,,,,,
z_cut,1_X,250,0.005,23,70.37249898365282,1.5615682762506824,6.34421476131279e-06,20183162.35900482,10226164.807297032,1.9736785724989319,8.62923521359189,109.24111820463906,112.6476008524265,primary,,,,,,,,,,,,,,,
z_cut,1_X,250,0.0075,13,71.37814495803178,1.8508268805282169,6.34421476131279e-06,19476839.911052868,10912711.995584112,1.7847845630796706,4.697118050855925,60.922614259601175,62.617462331985784,primary,,,,,,,,,,,,,,,
loho,1_X,250,0.0,29,,,,,,,,,,primary,23562600.439321376,941663.5063653503,21821859.07499709,26235953.680790912,29.0,N976A,,,,,,,,,
student_t,1_X,250,0.0,29,69.6341641336217,,0.5,23497395.187015697,,,,,,primary,,,,,,,sign_only_hessian_unreliable,,,,,,,,
perm_binned,1_X,250,0.0,29,,,,,,,,,,primary,,,,,,,,0.002,,,,,,,
bootstrap,1_X,250,0.0,29,,,,,,,,,,primary,,,,,,,,,27134517.559383493,10862095.870445607,16245864.44141113,57382319.18453316,20004144.011375546,31475389.886501335,0.999
