model,n_hosts,n_params,dof,H_app,H_app_err,Gamma_X,Gamma_X_err,Gamma_X_sig,alpha_z,dipole_x,dipole_y,dipole_z,quadrupole_xx,quadrupole_yy,quadrupole_xy,sigma_int_v,chi2,chi2_reduced,logL,AIC,BIC,status,group_offsets,sigma_v,sample
M0,29,3,26,70.07356234655795,1.0192185146509376,0.0,,,,,,,,,,50.0,42.32133803664433,1.6277437706401665,-171.95479915894006,349.9095983178801,354.01148580783956,converged,{},150,primary
M1,29,3,26,69.6327713959903,1.0314479454350585,23300862.417989623,7396008.468842886,3.1504645399135227,,,,,,,,50.0,31.578551541087613,1.2145596746572158,-166.60491674972496,339.2098334994499,343.31172098940937,converged,{},150,primary
M2,29,4,25,69.63594497101805,0.8896823508354871,23376081.471713785,7160107.902787056,3.26476664724769,0.0,,,,,,,0.01,34.398831760192955,1.3759532704077182,-166.82356288756756,341.6471257751351,347.116309095081,converged,{},150,primary
M3,29,6,23,70.0155707875212,1.0279924290025184,24487497.05634606,7073403.8891924685,3.461911328683037,,-29.467538725125184,-107.22884234833569,0.0,,,,10.288834178603306,37.42462391139737,1.627157561365103,-165.31489881602428,342.62979763204856,350.8335726119674,converged,{},150,primary
M4,29,9,20,70.90699579356553,0.6404147927489366,28545084.624231804,7139095.810439261,3.998417360149626,,-67.08486646742128,-118.91784149944792,142.45071960691908,382.3201026315666,-106.44502552328213,0.0,22.433668874312428,95.17444184164229,4.758722092082115,-163.122308657443,344.244617314886,356.55027978476426,converged,{},150,primary
M6,29,10,19,70.90696762630375,0.9573884719594943,28550287.695293114,6913343.824717105,4.129736408193382,22.404366933050408,-67.07003156554644,-118.96529841591644,142.56729035851373,382.50407040910244,-106.5143938285917,0.0,0.01,98.51622202655821,5.185064317187274,-163.122318207358,346.244636414716,359.91759471458073,converged,{},150,primary
M0,29,3,26,70.08844979486764,2.1886285389937593e-08,0.0,,,,,,,,,,0.01,19.891316661702913,0.7650506408347274,-171.93914526560104,349.8782905312021,353.9801780211615,converged,{},250,primary
M1,29,3,26,69.54412161254449,1.4972040643469577,23089388.178378556,10133344.34666432,2.278555567489334,,,,,,,,0.01,14.478705031599302,0.556873270446127,-169.24017317898804,344.4803463579761,348.5822338479355,converged,{},250,primary
M2,29,4,25,69.54403092354396,1.4715534740126057,23089306.699602716,10134429.83668275,2.2783034735736467,0.0,,,,,,,0.01,14.478713582435697,0.5791485432974279,-169.24018198261064,346.4803639652213,351.94954728516717,converged,{},250,primary
M3,29,6,23,69.8601636408418,1.5228918871445185,24558196.798752613,10220663.469260452,2.4027986903798917,,-22.840722110329523,-105.07281007188891,0.0,,,,0.01,15.412889841931346,0.6701256453013629,-168.66852412085294,349.3370482417059,357.5408232216247,converged,{},250,primary
M4,29,9,20,70.65304434344598,1.5829738358335688,28319730.828741573,10124470.407961603,2.7971567585867723,,-57.72009063319489,-116.06947781782485,143.6593128254766,373.0649639794351,-104.14962988427826,0.0,7.577384874399286,37.95635043225468,1.897817521612734,-167.8098362042908,353.6196724085816,365.92533487845986,converged,{},250,primary
M6,29,10,19,70.64949956129841,1.4870451061672543,28301870.27225851,9898009.541946702,2.8593496654370982,7.50848422499428,-57.41329520396271,-115.97812846702217,143.76575581927088,372.8107297666202,-103.82144949236076,0.0,0.01,38.180926987248846,2.009522473013097,-167.8098530396602,355.6197060793204,369.2926643791851,converged,{},250,primary
M0,29,3,26,69.87074905693336,2.7596494268524894,0.0,,,,,,,,,,0.01,5.70309124293663,0.21934966318987037,-183.60747128031394,373.2149425606279,377.3168300505873,converged,{},500,primary
M1,29,3,26,69.31524304421552,2.7855856010197133,23521121.56822646,18380975.03033627,1.2796449333839368,,,,,,,,0.01,4.047441006496398,0.15567080794216917,-182.78059714655348,371.56119429310695,375.6630817830664,converged,{},500,primary
M2,29,4,25,69.31514842124247,2.8582850749690567,23521013.403489377,18394367.921126537,1.2787073469632364,0.0,,,,,,,0.01,4.047443820156551,0.16189775280626204,-182.78060245159352,373.56120490318705,379.03038822313295,converged,{},500,primary
M3,29,6,23,69.63500534294226,2.7466975736708275,25069327.819735885,18414771.744565003,1.3613705435765138,,-22.51039758316777,-104.14809200335327,0.0,,,,0.01,4.245021715806744,0.18456616155681496,-182.62979926363548,377.25959852727095,385.4633735071898,converged,{},500,primary
M4,29,9,20,70.36587363752541,2.781891481607141,28705600.802092776,18569606.300002523,1.5458378782154836,,-54.06657530848266,-115.55536503099302,144.1131302819273,368.5536086450874,-103.63581342530946,0.0,0.01,10.1346161817907,0.5067308090895349,-182.40210659741737,382.80421319483474,395.109875664713,converged,{},500,primary
M6,29,10,19,70.32406431486066,2.795513216375885,28677984.944282245,18297462.267560773,1.5673203488510483,-8.327789781068658,-49.52114017166919,-115.0743493310361,140.4263783911181,364.3263193366201,-97.42475527186903,0.0,0.01,9.758691310659746,0.5136153321399867,-182.4003669169435,384.800733833887,398.47369213375174,converged,{},500,primary
